segment;time;altitude_m;mach_number;velocity_m_s;pressure_Pa;temperature_C;mdot_fuel_kg_s;mdot_air_kg_s;AFR_esteq;AFR_real_adjusted;excesso_ar;phi;B_Fuel_kW;B_Air_kW;W_Mec_Engine_kW;W_Mec_Hydraulic_kW;W_Electric_kW_aux_engine;W_Aux_Engine_kW;mdot_bleed_kg_s;P_bleed_Pa;T_estag_bleed_K;P_estag_bleed_Pa;T_bleed_K;B_Bleed_kW;B_Perda_Dest_Engine_kW;P_mec_MTRB_kW;eta_emotor_MTRB;W_Entrada_CT_kW;W_Gearbox_out_kW;B_Perda_Dest_Gearbox_kW;W_Prop_SysTermico_in_kW;thrust_turboprop_N;B_Thrust_Engine_kW;B_Perda_Dest_Prop_SysTermico_kW;B_Quim_Bat_kW;W_Bat_Power_kW;Q_Bat_Heat_kW;B_Bat_Heat_kW;B_Dest_Bat_kW;Ex_inverter_in_kW;Ex_inverter_out_kW;Q_heat_inverter_kW;B_Inverter_Heat_kW;B_Dest_Inverter_kW;eta_ex_inverter;W_El_MTRB_in_kW;W_El_MTRB_out_kW;P_loss_Motor_MTRB_kW;B_Motor_MTRB_Heat_kW;B_Dest_Motor_MTRB_kW;W_El_WTP_in_kW;P_mec_WTPmotor_kW;P_loss_Motor_WTP_kW;B_Motor_WTP_Heat_kW;B_Dest_Motor_WTP_kW;B_Thrust_Motor_WTP_kW;B_Perda_Dest_WTP_kW;B_Thrust_Total_kW;eta_ex_engine;eta_ex_gearbox;eta_ex_prop_SysTermico;eta_ex_bat;eta_ex_motor_MTRB;eta_ex_motor_WTP;eta_ex_prop_WTP;eta_ex_total
climb_1;0;0;0,241882353;82,31111111;101325;288,15;0,267163173;11,34096615;13,39410029;42,44958625;2,169274929;0,321968963;12202,1436;78,78401291;1766,303872;14,914;14,914;29,828;0,10394825;172369,7;1002,290647;19,10966378;13522,37801;1267,423519;9217,372222;345,402465;0,971240309;2111,706337;2069,47221;42,23412674;2069,47221;14480,24602;1191,885139;877,5870712;44,83466247;44,61803799;0,213008323;0,010203177;0,200871247;46,96635578;44,61803799;2,348317789;0,307953666;2,040364123;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;403,2987434;391,7278633;11,57088011;2,906161021;8,664719084;272,8050866;118,9227767;1464,690226;0,249456351;0,98;0,575936769;0,949690346;0,971240309;0,971309407;0,696414813;0,224896853
climb_1;16,25294939;116,025756;0,242199506;82,31111111;99938,93153;287,3958463;0,265014972;11,24437454;13,39410029;42,42920487;2,167753261;0,322123625;12104,02882;65,16747735;1753,222164;14,914;14,914;29,828;0,10394825;172369,7;1001,408269;18,94690551;13543,53163;1269,584709;9116,561421;345,402465;0,971240309;2098,624629;2056,652136;41,97249258;2056,652136;14347,4453;1180,954164;875,6979722;44,83466247;44,62350674;0,214705669;0,01028448;0,200871247;46,97211236;44,62350674;2,348605618;0,307991411;2,040614207;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;403,6252446;392,044997;11,58024762;2,908513781;8,671733837;272,5844088;119,4605882;1453,538573;0,250849341;0,98;0,574211916;0,949690346;0,971240309;0,971309407;0,695288579;0,225392525
climb_1;48,75884818;344,6294128;0,242828021;82,31111111;97253,04594;285,91003;0,26079612;11,05491543;13,39410029;42,38911003;2,16475979;0,322428314;11911,34119;38,96072249;1727,449154;14,914;14,914;29,828;0,10394825;172369,7;999,6698662;18,62623724;13586,11855;1273,935892;8919,088866;345,402465;0,971240309;2072,851619;2031,394587;41,45703238;2031,394587;14085,76655;1159,415096;871,9794911;44,84506364;44,63383547;0,217911412;0,010438037;0,200790136;46,98298471;44,63383547;2,349149235;0,3080627;2,041086535;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;404,2926614;392,6932652;11,5993962;2,91332317;8,68607303;272,1344193;120,5588459;1431,549515;0,253651587;0,98;0,570748344;0,949689823;0,971240309;0,971309407;0,692994873;0,228035006
climb_1;65,01179757;457,2;0,243139306;82,31111111;95952,1631;285,1784132;0,258725331;10,96203584;13,39410029;42,36939536;2,163287899;0,322578341;11816,76204;26,35741019;1714,75865;14,914;14,914;29,828;0,10394825;172369,7;998,8138962;18,4683373;13607,54425;1276,125111;8822,407692;345,402465;0,971240309;2060,161115;2018,957893;41,2032223;2018,957893;13956,89927;1148,807887;870,1500061;44,85496647;44,63871256;0,219425121;0,010510544;0,205743371;46,98811848;44,63871256;2,349405924;0,308096362;2,041309562;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;404,6332255;393,0240583;11,60916719;2,915777267;8,69338992;271,9053744;121,1186839;1420,713261;0,255060482;0,98;0,569010325;0,949578819;0,971240309;0,971309407;0,69182883;0,229363412
climb_2;65,01179757;457,2;0,25377665;85,91222222;95952,1631;285,1784132;0,259108318;10,98114762;13,39410029;42,38052914;2,164119144;0,322493597;11834,25421;33,05497549;1719,634066;14,914;14,914;29,828;0,10394825;172369,7;999,2067978;18,50255196;13605,70005;1275,936672;8841,910445;345,402465;0,971240309;2065,036531;2023,7358;41,30073062;2023,7358;13500,26365;1159,837651;863,8981497;44,85496647;44,63879115;0,219449514;0,010511712;0,205663612;46,98820121;44,63879115;2,349410061;0,308096904;2,041313156;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;400,6850019;389,1891116;11,49589031;2,887326463;8,608563849;274,5846441;114,6044675;1434,422295;0,254935528;0,98;0,573117128;0,949580571;0,971240309;0,971309407;0,705530129;0,230032674
climb_2;83,8696317;652,9530271;0,254344597;85,91222222;93723,68946;283,9062403;0,255532713;10,82079399;13,39410029;42,34602239;2,161542879;0,322756389;11670,9456;11,47572259;1697,028357;14,914;14,914;29,828;0,10394825;172369,7;997,7151998;18,22511137;13644,15984;1279,866569;8675,698398;345,402465;0,971240309;2042,430822;2001,582206;40,84861644;2001,582206;13278,99214;1140,827724;860,754482;44,86183271;44,64421995;0,221134459;0,010592422;0,207020338;46,99391574;44,64421995;2,349695787;0,308134374;2,041561413;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;401,2337645;389,7221299;11,51163464;2,891280833;8,620353803;274,2090979;115,513032;1415,036821;0,257371554;0,98;0,569962963;0,949549267;0,971240309;0,971309407;0,703601558;0,23234123
climb_2;121,5853;1034,003219;0,255461075;85,91222222;89506,3189;281,4300697;0,248568305;10,50939633;13,39410029;42,27971192;2,156592157;0,323262592;11352,86019;28,82648863;1652,320179;14,914;14,914;29,828;0,10394825;172369,7;994,7881305;17,68255147;13722,10945;1287,832369;8411,706134;345,402465;0,971240309;1997,722644;1957,768191;39,95445288;1957,768191;12841,25067;1103,220381;854,54781;44,87211486;44,65439572;0,224292727;0,010743704;0,206975437;47,00462707;44,65439572;2,350231354;0,308204607;2,042026747;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;402,3689717;390,8247673;11,5442044;2,899461108;8,644743294;273,4354694;117,3892979;1376,655851;0,260943798;0,98;0,563509197;0,949548008;0,971240309;0,971309407;0,699637004;0,235794194
climb_2;140,4431341;1219,2;0,25600899;85,91222222;87513,02812;280,2267163;0,245156558;10,35348791;13,39410029;42,23214745;2,153041006;0,323626671;11197,03547;47,57929558;1629,839344;14,914;14,914;29,828;0,10394825;172369,7;993,4345819;17,42301481;13761,45354;1291,85339;8293,094035;345,402465;0,971240309;1975,241809;1935,736973;39,50483618;1935,736973;12621,08468;1084,305432;851,4315411;44,88183508;44,65916493;0,225772956;0,010814607;0,21185554;47,00964729;44,65916493;2,350482365;0,308237524;2,042244841;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;402,9533849;391,3924133;11,56097156;2,903672376;8,657299188;273,0388993;118,3535141;1357,344331;0,262483046;0,98;0,560151222;0,949438747;0,971240309;0,971309407;0,697609075;0,237302496
climb_3;140,4431341;1219,2;0,265206918;88,99888889;87513,02812;280,2267163;0,245488416;10,37156114;13,39410029;42,2486784;2,154275203;0,323500043;11212,19242;42,06340977;1633,909513;14,914;14,914;29,828;0,10394825;172369,7;993,7221072;17,45241214;13758,80764;1291,582967;8298,935353;345,402465;0,971240309;1979,311978;1939,725738;39,58623956;1939,725738;12273,78548;1092,35327;847,3724682;44,88183508;44,65924093;0,225796544;0,010815737;0,21177841;47,00972729;44,65924093;2,350486365;0,308238049;2,042248316;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;399,8034659;388,3328674;11,47059852;2,880974135;8,589624385;275,190082;113,1427854;1367,543352;0,262595815;0,98;0,563148309;0,94944044;0,971240309;0,971309407;0,708644838;0,23797872
climb_3;165,4663143;1455,955265;0,265937835;88,99888889;85017,47464;278,688453;0,241188427;10,1727175;13,39410029;42,17746939;2,148958756;0,324046214;11015,79903;65,38855784;1605,356575;14,914;14,914;29,828;0,10394825;172369,7;992,0647982;17,1202504;13811,48169;1296,966704;8149,036305;345,402465;0,971240309;1950,75904;1911,743859;39,0151808;1911,743859;12002,53244;1068,212051;843,5318082;44,88903852;44,66525947;0,227664527;0,010905214;0,21287384;47,0160626;44,66525947;2,35080313;0,308279589;2,042523541;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;400,5171078;389,0260345;11,49107333;2,886116622;8,604956708;274,6997483;114,3262862;1342,911799;0,264606231;0,98;0,558763166;0,94941484;0,971240309;0,971309407;0,70612176;0,239950397
climb_3;215,5126747;1913,072892;0,267366173;88,99888889;80362,67431;275,718759;0,233434713;9,816166612;13,39410029;42,05101498;2,139517703;0,325020675;10661,66365;108,1784992;1554,078517;14,914;14,914;29,828;0,10394825;172369,7;988,8091321;16,50213567;13911,55082;1307,195866;7878,739763;345,402465;0,971240309;1899,480982;1861,491362;37,98961964;1861,491362;11515,41774;1024,859384;836,6319784;44,90031007;44,67633842;0,231103118;0,011069924;0,212901729;47,02772465;44,67633842;2,351386233;0,308356056;2,043030177;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;401,9945194;390,4610583;11,53346114;2,896762814;8,636698331;273,6901705;116,7708878;1298,549554;0,268444267;0,98;0,550558227;0,949411802;0,971240309;0,971309407;0,700941015;0,243701913
climb_3;240,535855;2133,6;0,268063451;88,99888889;78192,31283;274,2862429;0,229721207;9,645346309;13,39410029;41,98718279;2,134752009;0,325514797;10492,05669;127,7238649;1529,439623;14,914;14,914;29,828;0,10394825;172369,7;987,250021;16,21295738;13959,9518;1312,144041;7748,368889;345,402465;0,971240309;1874,842088;1837,345246;37,49684176;1837,345246;11281,2911;1004,022373;833,3228731;44,91081815;44,68144003;0,232686511;0,011145769;0,218232351;47,03309477;44,68144003;2,351654738;0,308391267;2,043263472;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;402,7555061;391,2002117;11,5552943;2,902246466;8,653047837;273,1730465;118,0271652;1277,19542;0,270383333;0,98;0,546452756;0,949292586;0,971240309;0,971309407;0,698294731;0,245592429
climb_4;240,535855;2133,6;0,278909949;92,6;78192,31283;274,2862429;0,230068642;9,664118238;13,39410029;42,00536915;2,136109798;0,325373864;10507,92509;121,6532116;1533,835206;14,914;14,914;29,828;0,10394825;172369,7;987,5950035;16,24518905;13956,90795;1311,832849;7754,082243;345,402465;0,971240309;1879,237671;1841,652918;37,58475342;1841,652918;10925,81731;1011,730683;829,9222347;44,91081815;44,68151841;0,232710838;0,011146935;0,218152806;47,03317727;44,68151841;2,351658864;0,308391808;2,043267056;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;399,2567186;387,8018066;11,45491202;2,877034288;8,577877729;275,5669309;112,2348757;1287,297614;0,270518357;0,98;0,549360128;0,949294332;0,971240309;0,971309407;0,710587022;0,246284242
climb_4;259,015411;2289,95076;0,279427734;92,6;76682,59487;273,2706682;0,227449726;9,543517376;13,39410029;41,95879918;2,132632896;0,325734996;10388,31134;135,1895282;1516,420265;14,914;14,914;29,828;0,10394825;172369,7;986,4955529;16,0443842;13991,00171;1315,318562;7661,934037;345,402465;0,971240309;1861,82273;1824,586275;37,2364546;1824,586275;10766,03179;996,9345438;827,6517316;44,91660406;44,68510981;0,233825505;0,011200328;0,220293919;47,03695769;44,68510981;2,351847885;0,308416596;2,043431289;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;399,7643338;388,294858;11,4694758;2,880692151;8,588783647;275,21702;113,0778381;1272,151564;0,271921565;0,98;0,546389369;0,949246132;0,971240309;0,971309407;0,708783581;0,247652795
climb_4;295,9745232;2594,83184;0,280445682;92,6;73806,75632;271,2904597;0,222349954;9,309511844;13,39410029;41,86873744;2,12590891;0,326435668;10155,38945;160,5643738;1482,38876;14,914;14,914;29,828;0,10394825;172369,7;984,3462921;15,65222071;14059,57474;1322,329962;7481,407101;345,402465;0,971240309;1827,791225;1791,235401;36,5558245;1791,235401;10453,69526;968,0121811;823,2232194;44,92343028;44,6918849;0,235928301;0,011301052;0,220244324;47,04408937;44,6918849;2,352204468;0,308463357;2,043741111;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;400,799506;389,3003305;11,4991755;2,888151576;8,611023925;274,5061982;114,7941323;1242,518379;0,274773111;0,98;0,54041595;0,949245777;0,971240309;0,971309407;0,705127062;0,250430179
climb_4;314,4540793;2743,2;0,280945065;92,6;72439,29491;270,3268742;0,2198211;9,194308816;13,39410029;41,82632521;2,122742424;0,326766676;10039,8891;172,3918246;1464,881515;14,914;14,914;29,828;0,10394825;172369,7;983,2685116;15,45515706;14095,11296;1325,963938;7391,607472;345,402465;0,971240309;1810,28398;1774,0783;36,2056796;1774,0783;10292,9017;953,1226974;820,955603;44,92992123;44,69508171;0,236920499;0,011348579;0,223490944;47,04745443;44,69508171;2,352372722;0,308485422;2,0438873;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;401,3253746;389,8111116;11,51426298;2,891940972;8,622322009;274,1465045;115,6646071;1227,269202;0,27620406;0,98;0,53724951;0,949173204;0,971240309;0,971309407;0,703280374;0,251828804
climb_5;314,4540793;2743,2;0,289685578;95,48088889;72439,29491;270,3268742;0,220086945;9,208737743;13,39410029;41,84136293;2,123865137;0,326649237;10052,03104;167,6732664;1468,104208;14,914;14,914;29,828;0,10394825;172369,7;983,5351125;15,47900516;14092,72501;1325,719751;7396,052346;345,402465;0,971240309;1813,506673;1777,23654;36,27013346;1777,23654;10035,56954;958,2051002;819,0314393;44,92992123;44,6951298;0,236935428;0,011349294;0,223442139;47,04750505;44,6951298;2,352375253;0,308485754;2,043889499;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;398,7038026;387,264754;11,43904853;2,873049988;8,565998539;275,9490827;111,3156714;1234,154183;0,276294878;0,98;0,539154513;0,949174275;0,971240309;0,971309407;0,71255925;0,25229364
climb_5;334,8004296;2900,384158;0,290234079;95,48088889;71013,10133;269,3060816;0,217412147;9,086982221;13,39410029;41,79611096;2,120486637;0,327002895;9929,86499;179,938959;1449,382861;14,914;14,914;29,828;0,10394825;172369,7;982,3937621;15,26933491;14131,32775;1329,667299;7300,925789;345,402465;0,971240309;1794,785326;1758,889619;35,89570652;1758,889619;9868,217165;942,2261467;816,6634728;44,93429959;44,69850953;0,237984397;0,01139954;0,224390523;47,05106266;44,69850953;2,352553133;0,308509081;2,044044053;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;399,2357079;387,7813987;11,45430921;2,876882885;8,577426321;275,5814335;112,1999652;1217,80758;0,277837055;0,98;0,535693733;0,94915256;0,971240309;0,971309407;0,710661817;0,253802985
climb_5;375,4931302;3205,075668;0,291306168;95,48088889;68313,45597;267,3274834;0,212252239;8,851808149;13,39410029;41,7041921;2,113623998;0,327723631;9694,196512;202,6816839;1413,185542;14,914;14,914;29,828;0,10394825;172369,7;980,2051204;14,87536955;14205,54402;1337,257371;7116,607283;345,402465;0,971240309;1758,588007;1723,416247;35,17176014;1723,416247;9544,55858;911,3229373;812,0933096;44,94071598;44,70486717;0,239957629;0,011494059;0,224354748;47,05775492;44,70486717;2,352887746;0,308552961;2,044334785;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;400,3131479;388,8279263;11,4852216;2,884646892;8,600574707;274,8397079;113,9882184;1186,162645;0,280924031;0,98;0,528788642;0,949152002;0,971240309;0,971309407;0,706841483;0,256819003
climb_5;395,8394805;3352,8;0,291830209;95,48088889;67034,92642;266,3682628;0,209835513;8,741564356;13,39410029;41,65912734;2,110259475;0,328078146;9583,817385;213,3010538;1396,205675;14,914;14,914;29,828;0,10394825;172369,7;979,1441567;14,6906085;14240,93129;1340,876714;7030,20805;345,402465;0,971240309;1741,60814;1706,775977;34,8321628;1706,775977;9392,747345;896,8278656;809,9481116;44,94679815;44,70785925;0,240886286;0,011538542;0,227400357;47,06090447;44,70785925;2,353045224;0,308573612;2,044471611;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;400,8580051;389,3571512;11,50085387;2,888573119;8,612280755;274,4661383;114,8910129;1171,294004;0,282420837;0,98;0,525451423;0,949083962;0,971240309;0,971309407;0,704921272;0,258278995
climb_6;395,8394805;3352,8;0,300949903;98,46466667;67034,92642;266,3682628;0,210071622;8,754618263;13,39410029;41,67444503;2,11140309;0,327957559;9594,601192;208,5539581;1399,232018;14,914;14,914;29,828;0,10394825;172369,7;979,4257081;14,71346106;14238,70131;1340,64863;7033,446502;345,402465;0,971240309;1744,634483;1709,741793;34,89268966;1709,741793;9151,622262;901,1114355;808,6303578;44,94679815;44,70790205;0,240899569;0,011539178;0,227356921;47,06094953;44,70790205;2,353047476;0,308573908;2,044473569;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;398,2673119;386,8407866;11,42652535;2,869904647;8,556620705;276,2515158;110,5892708;1177,362951;0,282532369;0,98;0,527045335;0,949084914;0,971240309;0,971309407;0,714121999;0,25871377
climb_6;418,4456249;3509,930835;0,301527918;98,46466667;65696,3852;265,3480117;0,207685647;8,645445904;13,39410029;41,62755602;2,107902369;0,328326969;9485,626555;219,7979079;1382,459617;14,914;14,914;29,828;0,10394825;172369,7;978,2849154;14,52472811;14274,6737;1344,328003;6948,808843;345,402465;0,971240309;1727,862082;1693,30484;34,55724164;1693,30484;9005,939543;886,7668352;806,5380052;44,95091166;44,71108841;0,241888525;0,011586549;0,228236705;47,06430359;44,71108841;2,353215179;0,3085959;2,044619279;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;398,8202927;387,377902;11,4423907;2,873889413;8,568501286;275,8684817;111,5094203;1162,635317;0,284028342;0,98;0,523690014;0,949064774;0,971240309;0,971309407;0,712143053;0,260173708
climb_6;463,6579136;3814,712348;0,302658551;98,46466667;63161,93785;263,3692075;0,203035965;8,433676213;13,39410029;41,53784386;2,101204483;0,329036079;9273,261629;240,6618191;1349,779236;14,914;14,914;29,828;0,10394825;172369,7;976,0757405;14,15780441;14346,93855;1351,720084;6782,596128;345,402465;0,971240309;1695,181701;1661,278067;33,90363402;1661,278067;8721,951077;858,8040055;802,4740615;44,95694552;44,71706633;0,2437439;0,011675422;0,228203769;47,07059614;44,71706633;2,353529807;0,30863716;2,044892647;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;399,940426;388,465898;11,47452799;2,881961066;8,592566919;275,0958431;113,3700549;1133,899849;0,287087376;0,98;0,516953798;0,949064246;0,971240309;0,971309407;0,708159569;0,263152987
climb_6;486,2640579;3962,4;0,303210976;98,46466667;61962,71662;262,4104086;0,200764651;8,330769608;13,39410029;41,4952013;2,098020801;0,329374213;9169,523905;250,3134249;1333,832676;14,914;14,914;29,828;0,10394825;172369,7;975,0078335;13,97936943;14383,26996;1355,436778;6700,739876;345,402465;0,971240309;1679,235141;1645,650438;33,58470282;1645,650438;8583,310439;845,1528013;800,4976369;44,96266531;44,71987322;0,244615079;0,011717152;0,231074933;47,07355076;44,71987322;2,353677538;0,308656533;2,045021005;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;400,5062548;389,0154928;11,49076195;2,886038415;8,604723535;274,707192;114,3083008;1119,859993;0,288656519;0,98;0,513567634;0,94900014;0,971240309;0,971309407;0,70616003;0,264678046
